name,num_workers,workers_distribution,policy_name,num_items,data_bal,items_diff,num_states,wrong_cost,cost,cost_std,recall,recall_std,precision,precision_std,loss,loss_std,f1,f1_std,fbeta,fbeta_std,estimate_after,avg_error_rate
base-c10,100,"Normal(1,0.2)",23states_base-c10.policy,1000,0.5,0.5,23,10,1.0,0.0,0.762,0.014,0.757,0.012,0.719,0.036,0.759,0.011,0.761,0.013,False,1
base-c20,100,"Normal(1,0.2)",23states_base-c20.policy,1000,0.5,0.5,23,20,1.0,0.0,0.751,0.011,0.757,0.016,0.743,0.025,0.754,0.008,0.751,0.01,False,1
base-c50,100,"Normal(1,0.2)",23states_base-c50.policy,1000,0.5,0.5,23,50,2.763,0.05,0.862,0.011,0.872,0.012,0.408,0.029,0.867,0.01,0.863,0.01,False,1
base-c500,100,"Normal(1,0.2)",23states_base-c500.policy,1000,0.5,0.5,23,500,7.925,0.245,0.985,0.004,0.985,0.004,0.044,0.011,0.985,0.003,0.985,0.004,False,1
base-c1000,100,"Normal(1,0.2)",23states_base-c1000.policy,1000,0.5,0.5,23,1000,10.286,0.856,0.995,0.004,0.993,0.005,0.015,0.011,0.994,0.004,0.995,0.004,False,1
base-c10,100,"Normal(1,0.2)",23states_base-c10.policy,1000,0.5,0.5,23,10,1.0,0.0,0.741,0.019,0.751,0.012,0.77,0.047,0.746,0.013,0.741,0.018,True,1
base-c20,100,"Normal(1,0.2)",23states_base-c20.policy,1000,0.5,0.5,23,20,1.0,0.0,0.76,0.015,0.758,0.012,0.721,0.036,0.759,0.009,0.76,0.015,True,1
base-c50,100,"Normal(1,0.2)",23states_base-c50.policy,1000,0.5,0.5,23,50,3.02,0.045,0.893,0.011,0.894,0.009,0.319,0.027,0.894,0.007,0.893,0.01,True,1
base-c500,100,"Normal(1,0.2)",23states_base-c500.policy,1000,0.5,0.5,23,500,9.613,0.263,0.995,0.003,0.994,0.005,0.017,0.009,0.994,0.003,0.995,0.003,True,1
base-c1000,100,"Normal(1,0.2)",23states_base-c1000.policy,1000,0.5,0.5,23,1000,12.224,0.376,0.998,0.001,0.999,0.001,0.005,0.004,0.999,0.001,0.998,0.001,True,1
vary_num_states-c10,100,"Normal(1,0.2)",5states-c10.policy,1000,0.5,0.5,5,10,1.0,0.0,0.753,0.019,0.753,0.019,0.74,0.053,0.753,0.017,0.753,0.019,False,1
vary_num_states-c20,100,"Normal(1,0.2)",5states-c20.policy,1000,0.5,0.5,5,20,1.0,0.0,0.762,0.016,0.758,0.01,0.717,0.038,0.76,0.01,0.762,0.015,False,1
vary_num_states-c50,100,"Normal(1,0.2)",5states-c50.policy,1000,0.5,0.5,5,50,1.0,0.0,0.759,0.012,0.755,0.012,0.725,0.034,0.757,0.011,0.759,0.012,False,1
vary_num_states-c500,100,"Normal(1,0.2)",5states-c500.policy,1000,0.5,0.5,5,500,1.0,0.0,0.752,0.018,0.748,0.016,0.746,0.052,0.75,0.016,0.752,0.018,False,1
vary_num_states-c1000,100,"Normal(1,0.2)",5states-c1000.policy,1000,0.5,0.5,5,1000,1.0,0.0,0.758,0.02,0.755,0.017,0.727,0.054,0.757,0.017,0.758,0.02,False,1
vary_num_states-c10,100,"Normal(1,0.2)",5states-c10.policy,1000,0.5,0.5,5,10,1.0,0.0,0.74,0.012,0.742,0.013,0.78,0.031,0.741,0.01,0.74,0.011,True,1
vary_num_states-c20,100,"Normal(1,0.2)",5states-c20.policy,1000,0.5,0.5,5,20,1.0,0.0,0.748,0.026,0.745,0.014,0.757,0.067,0.747,0.018,0.748,0.026,True,1
vary_num_states-c50,100,"Normal(1,0.2)",5states-c50.policy,1000,0.5,0.5,5,50,1.0,0.0,0.746,0.01,0.745,0.015,0.763,0.023,0.746,0.008,0.746,0.009,True,1
vary_num_states-c500,100,"Normal(1,0.2)",5states-c500.policy,1000,0.5,0.5,5,500,1.0,0.0,0.747,0.021,0.749,0.01,0.758,0.047,0.748,0.011,0.747,0.02,True,1
vary_num_states-c1000,100,"Normal(1,0.2)",5states-c1000.policy,1000,0.5,0.5,5,1000,1.0,0.0,0.741,0.022,0.752,0.018,0.769,0.06,0.747,0.019,0.742,0.021,True,1
vary_num_states-c10,100,"Normal(1,0.2)",9states-c10.policy,1000,0.5,0.5,9,10,1.0,0.0,0.751,0.019,0.746,0.013,0.75,0.051,0.748,0.015,0.751,0.019,False,1
vary_num_states-c20,100,"Normal(1,0.2)",9states-c20.policy,1000,0.5,0.5,9,20,1.0,0.0,0.756,0.016,0.753,0.015,0.735,0.044,0.754,0.014,0.756,0.016,False,1
vary_num_states-c50,100,"Normal(1,0.2)",9states-c50.policy,1000,0.5,0.5,9,50,2.658,0.068,0.863,0.011,0.87,0.016,0.406,0.032,0.866,0.011,0.864,0.011,False,1
vary_num_states-c500,100,"Normal(1,0.2)",9states-c500.policy,1000,0.5,0.5,9,500,6.975,0.36,0.976,0.006,0.973,0.006,0.074,0.015,0.974,0.004,0.976,0.006,False,1
vary_num_states-c1000,100,"Normal(1,0.2)",9states-c1000.policy,1000,0.5,0.5,9,1000,8.313,0.316,0.985,0.005,0.989,0.006,0.044,0.014,0.987,0.005,0.985,0.005,False,1
vary_num_states-c10,100,"Normal(1,0.2)",9states-c10.policy,1000,0.5,0.5,9,10,1.0,0.0,0.746,0.012,0.747,0.012,0.761,0.03,0.747,0.009,0.746,0.012,True,1
vary_num_states-c20,100,"Normal(1,0.2)",9states-c20.policy,1000,0.5,0.5,9,20,1.0,0.0,0.751,0.019,0.749,0.01,0.748,0.05,0.75,0.014,0.751,0.018,True,1
vary_num_states-c50,100,"Normal(1,0.2)",9states-c50.policy,1000,0.5,0.5,9,50,2.986,0.043,0.877,0.009,0.892,0.016,0.361,0.026,0.884,0.01,0.878,0.009,True,1
vary_num_states-c500,100,"Normal(1,0.2)",9states-c500.policy,1000,0.5,0.5,9,500,7.866,0.183,0.982,0.004,0.986,0.004,0.051,0.01,0.984,0.003,0.983,0.004,True,1
vary_num_states-c1000,100,"Normal(1,0.2)",9states-c1000.policy,1000,0.5,0.5,9,1000,9.778,0.236,0.995,0.003,0.995,0.002,0.016,0.008,0.995,0.002,0.995,0.003,True,1
vary_num_states-c10,100,"Normal(1,0.2)",13states-c10.policy,1000,0.5,0.5,13,10,1.0,0.0,0.759,0.018,0.746,0.016,0.732,0.049,0.752,0.015,0.759,0.018,False,1
vary_num_states-c20,100,"Normal(1,0.2)",13states-c20.policy,1000,0.5,0.5,13,20,1.0,0.0,0.744,0.02,0.746,0.012,0.766,0.05,0.745,0.013,0.744,0.02,False,1
vary_num_states-c50,100,"Normal(1,0.2)",13states-c50.policy,1000,0.5,0.5,13,50,2.792,0.104,0.865,0.021,0.869,0.011,0.403,0.053,0.867,0.013,0.865,0.021,False,1
vary_num_states-c500,100,"Normal(1,0.2)",13states-c500.policy,1000,0.5,0.5,13,500,7.568,0.278,0.981,0.006,0.982,0.005,0.055,0.014,0.982,0.004,0.981,0.005,False,1
vary_num_states-c1000,100,"Normal(1,0.2)",13states-c1000.policy,1000,0.5,0.5,13,1000,9.798,0.551,0.993,0.003,0.99,0.004,0.023,0.009,0.992,0.003,0.993,0.003,False,1
vary_num_states-c10,100,"Normal(1,0.2)",13states-c10.policy,1000,0.5,0.5,13,10,1.0,0.0,0.754,0.016,0.751,0.014,0.741,0.04,0.752,0.012,0.753,0.016,True,1
vary_num_states-c20,100,"Normal(1,0.2)",13states-c20.policy,1000,0.5,0.5,13,20,1.0,0.0,0.747,0.012,0.749,0.021,0.758,0.028,0.748,0.011,0.747,0.011,True,1
vary_num_states-c50,100,"Normal(1,0.2)",13states-c50.policy,1000,0.5,0.5,13,50,2.944,0.03,0.885,0.015,0.892,0.012,0.342,0.041,0.888,0.011,0.885,0.015,True,1
vary_num_states-c500,100,"Normal(1,0.2)",13states-c500.policy,1000,0.5,0.5,13,500,9.405,0.411,0.991,0.004,0.99,0.003,0.028,0.01,0.99,0.003,0.991,0.004,True,1
vary_num_states-c1000,100,"Normal(1,0.2)",13states-c1000.policy,1000,0.5,0.5,13,1000,11.832,0.365,0.997,0.002,0.997,0.003,0.01,0.005,0.997,0.002,0.997,0.002,True,1
vary_num_states-c10,100,"Normal(1,0.2)",17states-c10.policy,1000,0.5,0.5,17,10,1.0,0.0,0.746,0.024,0.75,0.016,0.76,0.063,0.748,0.018,0.746,0.024,False,1
vary_num_states-c20,100,"Normal(1,0.2)",17states-c20.policy,1000,0.5,0.5,17,20,1.0,0.0,0.755,0.015,0.761,0.012,0.732,0.038,0.758,0.011,0.755,0.015,False,1
vary_num_states-c50,100,"Normal(1,0.2)",17states-c50.policy,1000,0.5,0.5,17,50,2.709,0.12,0.863,0.017,0.865,0.02,0.411,0.042,0.864,0.013,0.863,0.016,False,1
vary_num_states-c500,100,"Normal(1,0.2)",17states-c500.policy,1000,0.5,0.5,17,500,7.874,0.444,0.979,0.005,0.982,0.006,0.062,0.014,0.98,0.005,0.979,0.005,False,1
vary_num_states-c1000,100,"Normal(1,0.2)",17states-c1000.policy,1000,0.5,0.5,17,1000,9.966,0.623,0.992,0.002,0.991,0.005,0.023,0.007,0.992,0.003,0.992,0.002,False,1
vary_num_states-c10,100,"Normal(1,0.2)",17states-c10.policy,1000,0.5,0.5,17,10,1.0,0.0,0.755,0.012,0.751,0.015,0.739,0.032,0.753,0.011,0.754,0.012,True,1
vary_num_states-c20,100,"Normal(1,0.2)",17states-c20.policy,1000,0.5,0.5,17,20,1.0,0.0,0.746,0.017,0.753,0.015,0.757,0.039,0.749,0.01,0.746,0.016,True,1
vary_num_states-c50,100,"Normal(1,0.2)",17states-c50.policy,1000,0.5,0.5,17,50,2.963,0.066,0.882,0.013,0.884,0.01,0.352,0.035,0.883,0.01,0.882,0.013,True,1
vary_num_states-c500,100,"Normal(1,0.2)",17states-c500.policy,1000,0.5,0.5,17,500,9.686,0.403,0.993,0.003,0.992,0.003,0.021,0.007,0.993,0.002,0.993,0.003,True,1
vary_num_states-c1000,100,"Normal(1,0.2)",17states-c1000.policy,1000,0.5,0.5,17,1000,12.129,0.437,0.997,0.003,0.997,0.003,0.009,0.008,0.997,0.002,0.997,0.003,True,1
bimodal-c10,100,"BiModal(1,0.2)",23states_base-c10.policy,1000,0.5,0.5,23,10,1.0,0.0,0.738,0.013,0.738,0.014,0.787,0.036,0.738,0.011,0.738,0.013,False,1
bimodal-c20,100,"BiModal(1,0.2)",23states_base-c20.policy,1000,0.5,0.5,23,20,1.0,0.0,0.746,0.015,0.733,0.015,0.77,0.037,0.74,0.011,0.746,0.014,False,1
bimodal-c50,100,"BiModal(1,0.2)",23states_base-c50.policy,1000,0.5,0.5,23,50,2.687,0.104,0.873,0.017,0.878,0.02,0.378,0.049,0.875,0.017,0.873,0.016,False,1
bimodal-c500,100,"BiModal(1,0.2)",23states_base-c500.policy,1000,0.5,0.5,23,500,5.858,0.218,0.985,0.004,0.985,0.005,0.045,0.011,0.985,0.004,0.985,0.004,False,1
bimodal-c1000,100,"BiModal(1,0.2)",23states_base-c1000.policy,1000,0.5,0.5,23,1000,6.668,0.175,0.993,0.003,0.992,0.005,0.022,0.008,0.992,0.003,0.993,0.003,False,1
bimodal-c10,100,"BiModal(1,0.2)",23states_base-c10.policy,1000,0.5,0.5,23,10,1.0,0.0,0.737,0.026,0.736,0.02,0.791,0.067,0.736,0.02,0.737,0.025,True,1
bimodal-c20,100,"BiModal(1,0.2)",23states_base-c20.policy,1000,0.5,0.5,23,20,1.0,0.0,0.73,0.02,0.728,0.015,0.811,0.048,0.729,0.013,0.73,0.02,True,1
bimodal-c50,100,"BiModal(1,0.2)",23states_base-c50.policy,1000,0.5,0.5,23,50,3.043,0.067,0.889,0.016,0.892,0.012,0.332,0.043,0.89,0.012,0.889,0.016,True,1
bimodal-c500,100,"BiModal(1,0.2)",23states_base-c500.policy,1000,0.5,0.5,23,500,8.294,0.175,0.991,0.004,0.992,0.004,0.026,0.01,0.992,0.003,0.991,0.004,True,1
bimodal-c1000,100,"BiModal(1,0.2)",23states_base-c1000.policy,1000,0.5,0.5,23,1000,9.799,0.179,0.996,0.002,0.993,0.003,0.013,0.006,0.995,0.002,0.996,0.002,True,1
good-c10,100,"BiModal(1,0.2)",23states_base-c10.policy,1000,0.5,0.5,23,10,1.0,0.0,0.935,0.009,0.931,0.007,0.197,0.022,0.933,0.005,0.935,0.009,False,1
good-c20,100,"BiModal(1,0.2)",23states_base-c20.policy,1000,0.5,0.5,23,20,1.0,0.0,0.935,0.008,0.937,0.008,0.195,0.018,0.936,0.002,0.935,0.008,False,1
good-c50,100,"BiModal(1,0.2)",23states_base-c50.policy,1000,0.5,0.5,23,50,2.121,0.023,0.979,0.008,0.985,0.004,0.06,0.021,0.982,0.005,0.979,0.008,False,1
good-c500,100,"BiModal(1,0.2)",23states_base-c500.policy,1000,0.5,0.5,23,500,3.102,0.122,0.999,0.001,0.997,0.002,0.003,0.004,0.998,0.001,0.999,0.001,False,1
good-c1000,100,"BiModal(1,0.2)",23states_base-c1000.policy,1000,0.5,0.5,23,1000,3.68,0.278,0.999,0.001,0.999,0.002,0.004,0.004,0.999,0.001,0.999,0.001,False,1
good-c10,100,"BiModal(1,0.2)",23states_base-c10.policy,1000,0.5,0.5,23,10,1.0,0.0,0.939,0.009,0.937,0.011,0.185,0.023,0.938,0.007,0.939,0.009,True,1
good-c20,100,"BiModal(1,0.2)",23states_base-c20.policy,1000,0.5,0.5,23,20,1.0,0.0,0.94,0.008,0.939,0.009,0.18,0.019,0.94,0.004,0.94,0.008,True,1
good-c50,100,"BiModal(1,0.2)",23states_base-c50.policy,1000,0.5,0.5,23,50,2.243,0.008,0.993,0.005,0.992,0.004,0.021,0.013,0.993,0.004,0.993,0.005,True,1
good-c500,100,"BiModal(1,0.2)",23states_base-c500.policy,1000,0.5,0.5,23,500,5.641,0.021,1.0,0.001,1.0,0.001,0.001,0.002,1.0,0.0,1.0,0.001,True,1
good-c1000,100,"BiModal(1,0.2)",23states_base-c1000.policy,1000,0.5,0.5,23,1000,6.773,0.032,1.0,0.0,1.0,0.001,0.0,0.0,1.0,0.0,1.0,0.0,True,1
bad-c10,100,"BiModal(1,0.2)",23states_base-c10.policy,1000,0.5,0.5,23,10,1.0,0.0,0.573,0.029,0.567,0.017,1.285,0.076,0.57,0.022,0.573,0.029,False,1
bad-c20,100,"BiModal(1,0.2)",23states_base-c20.policy,1000,0.5,0.5,23,20,1.0,0.0,0.559,0.029,0.564,0.018,1.318,0.071,0.561,0.021,0.56,0.028,False,1
bad-c50,100,"BiModal(1,0.2)",23states_base-c50.policy,1000,0.5,0.5,23,50,3.311,0.333,0.602,0.016,0.598,0.009,1.197,0.039,0.6,0.011,0.602,0.015,False,1
bad-c500,1000,"BiModal(1,0.2)",23states_base-c500.policy,1000,0.5,0.5,23,500,10.872,0.365,0.686,0.021,0.695,0.01,0.936,0.05,0.69,0.012,0.686,0.021,False,1
bad-c1000,1000,"BiModal(1,0.2)",23states_base-c1000.policy,1000,0.5,0.5,23,1000,14.876,0.635,0.726,0.024,0.726,0.014,0.821,0.057,0.726,0.015,0.726,0.023,False,1
bad-c10,1000,"Normal(1,0.2)",23states_base-c10.policy,1000,0.5,0.5,23,10,1.0,0.0,0.567,0.026,0.566,0.014,1.301,0.065,0.566,0.019,0.567,0.025,True,1
bad-c20,1000,"Normal(1,0.2)",23states_base-c20.policy,1000,0.5,0.5,23,20,1.0,0.0,0.566,0.02,0.556,0.017,1.311,0.054,0.561,0.017,0.565,0.02,True,1
bad-c50,1000,"Normal(1,0.2)",23states_base-c50.policy,1000,0.5,0.5,23,50,3.391,0.057,0.614,0.017,0.612,0.014,1.16,0.044,0.613,0.013,0.614,0.017,True,1
bad-c500,1000,"BiModal(1,0.2)",23states_base-c500.policy,1000,0.5,0.5,23,500,14.25,0.425,0.709,0.018,0.716,0.015,0.869,0.044,0.712,0.012,0.709,0.017,True,1
bad-c1000,1000,"BiModal(1,0.2)",23states_base-c1000.policy,1000,0.5,0.5,23,1000,20.005,0.5,0.748,0.016,0.749,0.012,0.756,0.04,0.748,0.011,0.748,0.016,True,1
unclassify-c10-u5,1000,"Normal(1,0.2)",unclassified-w10-u5.policy,1000,0.5,0.5,23,10,1.0,0.0,0.558,0.021,0.562,0.014,1.322,0.053,0.56,0.016,0.559,0.02,False,1
unclassify-c20-u10,1000,"Normal(1,0.2)",unclassified-w20-u10.policy,1000,0.5,0.5,23,20,1.0,0.0,0.558,0.015,0.563,0.011,1.321,0.039,0.561,0.012,0.558,0.015,False,1
unclassify-c50-u20,1000,"Normal(1,0.2)",unclassified-w50-u20.policy,1000,0.5,0.5,23,50,2.864,0.03,0.616,0.031,0.601,0.019,1.165,0.081,0.608,0.023,0.615,0.031,False,1
unclassify-c500-u200,1000,"Normal(1,0.2)",unclassified-w500-u200.policy,1000,0.5,0.5,23,500,10.561,0.257,0.686,0.012,0.696,0.017,0.936,0.037,0.691,0.014,0.686,0.012,False,1
unclassify-c1000-u500,1000,"Normal(1,0.2)",unclassified-w1000-u500.policy,1000,0.5,0.5,23,1000,14.536,0.387,0.728,0.016,0.721,0.014,0.821,0.039,0.724,0.011,0.728,0.015,False,1
unclassify-c10-u5,1000,"Normal(1,0.2)",unclassified-w10-u5.policy,1000,0.5,0.5,23,10,1.0,0.0,0.569,0.016,0.567,0.011,1.294,0.04,0.568,0.012,0.569,0.015,True,1
unclassify-c20-u10,1000,"Normal(1,0.2)",unclassified-w20-u10.policy,1000,0.5,0.5,23,20,1.0,0.0,0.562,0.014,0.565,0.015,1.312,0.04,0.563,0.013,0.562,0.014,True,1
unclassify-c50-u20,1000,"Normal(1,0.2)",unclassified-w50-u20.policy,1000,0.5,0.5,23,50,3.418,0.052,0.628,0.02,0.625,0.018,1.119,0.052,0.626,0.016,0.628,0.02,True,1
unclassify-c500-u200,1000,"Normal(1,0.2)",unclassified-w500-u200.policy,1000,0.5,0.5,23,500,14.109,0.387,0.72,0.013,0.725,0.012,0.836,0.03,0.723,0.008,0.72,0.013,True,1
unclassify-c1000-u500,1000,"Normal(1,0.2)",unclassified-w1000-u500.policy,1000,0.5,0.5,23,1000,19.292,0.497,0.752,0.023,0.756,0.012,0.742,0.056,0.754,0.014,0.752,0.022,True,1
confusion-matrix-c10,1000,"NormalConfusion(1,0.2)",23states_base-c10.policy,1000,0.5,0.5,23,10,1.0,0.0,0.748,0.023,0.845,0.013,0.699,0.057,0.793,0.016,0.751,0.022,False,1
confusion-matrix-c20,1000,"NormalConfusion(1,0.2)",23states_base-c20.policy,1000,0.5,0.5,23,20,1.0,0.0,0.758,0.015,0.836,0.018,0.679,0.042,0.795,0.015,0.761,0.015,False,1
